city_name,AQI,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,coord.lon,coord.lat,Year,Month
Cagayan de Oro,45.49785408,331.1294421,0.122575107,-38.29433476,49.11566524,-41.46343348,5.120429185,7.559613734,2.906008584,124.6472,8.4822,2024,2
Calaca,48.48497854,280.1515451,0.228841202,-38.05042918,75.51596567,-37.89896996,4.199828326,8.471459227,1.651545064,120.8133,13.9324,2024,2
Calamba,54.67532468,354.8252814,0.489134199,-33.53545455,74.50160173,-29.03402597,5.774978355,11.45896104,2.974155844,121.1653,14.2117,2024,2
Calapan,52.89224138,250.6993966,0.108577586,-39.48021552,76.59202586,-39.12547414,3.481982759,6.727974138,0.283362069,121.1803,13.4117,2024,2
Calbayog City,49.27586207,237.0311638,0.009741379,-42.52168103,56.7375431,-39.40323276,3.306465517,7.130948276,0.364353448,124.6,12.0667,2024,2
Caloocan City,45.37229437,528.4952814,0.475281385,-30.6334632,64.84584416,-35.02545455,11.24662338,21.78108225,6.731082251,120.9667,14.65,2024,2
Candon,47.78969957,358.9569528,0.039656652,-41.10283262,70.75291845,-41.9488412,13.37682403,16.63356223,2.878412017,120.4517,17.1947,2024,2
Canlaon,51.63519313,350.2683262,0.138369099,-37.75755365,47.93957082,-41.67300429,6.631502146,9.028712446,4.441545064,123.1964,10.3864,2024,2
Carcar,49.93562232,281.7705579,0.095193133,-39.09609442,58.13424893,-39.47781116,4.500901288,8.670085837,2.68695279,123.6402,10.1061,2024,2
Carmona,51.46351931,355.0315021,0.484935622,-33.16334764,74.45459227,-28.66866953,5.772532189,11.45193133,2.970171674,121.0576,14.3132,2024,2
Catbalogan,50.97854077,239.0941202,0.015107296,-42.31905579,59.94660944,-42.37334764,2.826695279,6.827381974,0.574420601,124.8861,11.7753,2024,2
Cauayan,52.36909871,415.3995279,0.38111588,-38.06309013,50.80274678,-41.99476395,11.08909871,15.10240343,12.4860515,121.7725,16.9347,2024,2
Cavite City,48.48497854,697.3555794,0.965150215,-22.85733906,80.20467811,-25.81437768,19.81446352,35.34437768,7.93055794,120.9169,14.4825,2024,2
Cebu City,49.23275862,301.4296983,0.131810345,-38.85762931,54.89318966,-39.70637931,4.943362069,8.578189655,2.497931034,123.8907,10.3167,2024,2
City of Marikina,53.22317597,506.6249785,0.892403433,-31.38785408,56.99785408,-33.36064378,10.17030043,20.26351931,5.537939914,121.1,14.6333,2024,2
City of Masbate,47.10300429,237.3754506,0.014978541,-42.26686695,68.12206009,-40.35347639,3.536652361,6.89055794,0.283133047,123.5833,12.3333,2024,2
City of Passi,47.70815451,307.4849356,0.0672103,-40.10472103,54.41686695,-41.2572103,5.66055794,8.767381974,1.959141631,122.65,11.15,2024,2
City of Sorsogon,51.17596567,241.4580687,0.015493562,-42.31695279,67.56154506,-40.45021459,3.086609442,6.83695279,0.476995708,123.9833,12.9833,2024,2
Cotabato,48.75107296,389.5423176,0.057381974,-38.86944206,34.07669528,-42.27914163,8.063090129,10.14579399,4.275879828,124.2464,7.2236,2024,2
Dagupan,52.96551724,325.1039655,0.055215517,-41.15581897,53.36758621,-42.74202586,8.108491379,10.96922414,1.805517241,121.5047,17.7061,2024,2
Danao,52.40343348,247.474721,0.061716738,-39.902103,66.40416309,-39.93030043,3.638454936,6.821373391,0.587124464,124.0272,10.5208,2024,2
